,$ 4 100,2021,Kia,K5,85800 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Մաքսազերծված
,$ 8 000,2019,Lexus,RX 350,79583 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 13 000,2020,Hyundai,Tucson,32828 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 8 500,2018,Nissan,Murano,8306 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Կապույտ, Աճուրդում
,$ 4 000,2018,Subaru,Impreza,67527 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Աճուրդում
,$ 2 000,2018,Hyundai,Tucson,63688 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Երկնագույն, Աճուրդում
,$ 4 000,2025,Land,Rover Range Rover Sport,5000 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Մաքսազերծված չ
,€ 136 900,2024,Lexus,RX 350,10 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն, Մաքսազերծված չ
,$ 64 800,2023,Mercedes-Benz,GLS 600 Maybach,28766 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Մաքսազերծված չ
,€ 132 900,2022,Tesla,Model 3,31183 մղոն , Սեդան, Էլեկտրական, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 9 700,2024,Mercedes-Benz,GLE 63 S Coupe,16000 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Մաքսազերծված չ
,€ 110 800,2019,Toyota,Tundra,84158 մղոն , Պիկապ, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Աճուրդում
,$ 13 600,2025,BMW,740,9100 կմ , Սեդան, Դիզել, Ավտոմատ, Ձախ, Սև, Մաքսազերծված չ
,€ 96 700,2022,Lexus,RX 350 F Sport,48042 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 13 000,2005,Ford,Transit,230000 կմ , Ֆուրգոն, Դիզել, Մեխանիկական, Ձախ, Կարմիր, Մաքսազերծված
,Պայմ.,2019,Chevrolet,Cruze,71327 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն, Աճուրդում
,$ 109 000,2025,Rolls,Royce Cullinan,3946 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Մաքսազերծված չ
,€ 420 200,2025,Rolls,Royce Cullinan,10 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն, Մաքսազերծված չ
,€ 510 000,2025,Rolls,Royce Cullinan,20 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Մաքսազերծված չ
,€ 440 000,2025,Rolls,Royce Ghost,50 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև, Մաքսազերծված չ
,€ 360 000,2025,Rolls,Royce Ghost,50 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Մաքսազերծված չ
,€ 449 900,2025,BMW,530,4033 կմ , Սեդան, Հիբրիդ, Ավտոմատ, Ձախ, Արծաթագույն, Մաքսազերծված չ
,€ 60 500,2025,BMW,530,4095 կմ , Սեդան, Հիբրիդ, Ավտոմատ, Ձախ, Սև, Մաքսազերծված չ
,€ 62 200,2024,Mercedes-Benz,GLC 200,32 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Մաքսազերծված չ
,€ 57 900,2025,Mercedes-Benz,GLC 300,40 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Մաքսազերծված չ
,€ 67 000,2025,Mercedes-Benz,GLC 200,4000 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Մաքսազերծված չ
,€ 55 400,2025,Mercedes-Benz,GLC 300,4900 կմ , Ամենագնաց, Հիբրիդ, Ավտոմատ, Ձախ, Սև, Մաքսազերծված չ
,€ 73 100,2025,Audi,A8,1045 կմ , Սեդան, Դիզել, Ավտոմատ, Ձախ, Սև, Մաքսազերծված չ
,$ 113 500,2020,Nissan,Rogue,86516 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Կապույտ, Աճուրդում
,$ 4 100,2020,Nissan,Rogue,60308 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Աճուրդում
,$ 4 500,2019,Subaru,Legacy,39580 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 1 700,2024,Toyota,Camry,27000 կմ , Սեդան, Հիբրիդ, Վարիատոր, Ձախ, Այլ գույն, Մաքսազերծված
,$ 40 000,2021,Hyundai,Sonata,75709 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 6 900,2024,BMW,X5,17000 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Մաքսազերծված
,$ 110 000,2020,Porsche,Cayenne,36084 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Աճուրդում
,$ 28 000,2025,BMW,X6 M,4100 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն, Մաքսազերծված չ
,€ 119 000,2019,Hyundai,Kona,69709 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Աճուրդում
,$ 2 200,2021,Toyota,Rav 4,29893 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 11 300,2021,BMW,X3,11000 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 19 000,2025,Mercedes-Benz,G 580,50 կմ , Ամենագնաց, Էլեկտրական, Ավտոմատ, Ձախ, Սև, Մաքսազերծված չ
,€ 156 900,2025,Mercedes-Benz,G 580,28 կմ , Ամենագնաց, Էլեկտրական, Ավտոմատ, Ձախ, Սև, Մաքսազերծված չ
,€ 156 300,2020,Hyundai,Tucson,58367 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 6 100,2024,BMW,520,8682 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Մաքսազերծված չ
,€ 52 000,2021,Subaru,Forester,74822 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 5 500,2019,Toyota,Corolla,87353 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն, Աճուրդում
,$ 4 500,2020,Toyota,Rav 4,48877 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 10 000,2020,Ford,Fusion,68021 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 4 800,2022,Mercedes-Benz,GLS 600 Maybach,8360 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Մաքսազերծված չ
,€ 155 000,2022,Porsche,Macan,29083 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Կապույտ, Աճուրդում
,$ 8 000,2023,Mercedes-Benz,E 200,12632 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Մաքսազերծված չ
,€ 48 700,2025,BMW,X6 M,6200 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Կարմիր, Մաքսազերծված չ
,€ 141 000,2020,Mazda,CX5,17852 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Կապույտ, Աճուրդում
,$ 7 500,2018,Mazda,CX5,61476 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 5 700,2018,Mazda,CX5,48132 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 5 500,2018,Dodge,Journey,47688 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 2 100,2021,Lexus,RX 350,32170 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Աճուրդում
,$ 19 200,2025,Mercedes-Benz,EQE,1200 կմ , Սեդան, Էլեկտրական, Ավտոմատ, Ձախ, Սև, Մաքսազերծված չ
,€ 59 400,2022,Mercedes-Benz,EQC,28809 կմ , Ամենագնաց, Էլեկտրական, Ավտոմատ, Ձախ, Սպիտակ, Մաքսազերծված չ
,€ 39 100,2024,Mercedes-Benz,EQE,15100 կմ , Սեդան, Էլեկտրական, Ավտոմատ, Ձախ, Սպիտակ, Մաքսազերծված չ
,€ 41 600,2020,Kia,Sportage,70813 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 5 500,2018,Toyota,Camry,88338 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն, Աճուրդում
,$ 1 500,2019,Hyundai,Tucson,57947 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 3 600,2023,BMW,XM,7000 կմ , Ամենագնաց, Հիբրիդ, Ավտոմատ, Ձախ, Մոխրագույն, Մաքսազերծված չ
,$ 4 500,2022,BMW,X3,21147 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Կապույտ, Աճուրդում
,$ 20 500,2021,Porsche,Cayenne,10 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 27 500,2020,Kia,Sportage,37502 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Աճուրդում
,$ 4 600,2025,Mercedes-Benz,GLS 600 Maybach,53 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Մաքսազերծված չ
,€ 196 000,2023,BMW,X3,23800 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Մաքսազերծված չ
,$ 177 000,2025,Mercedes-Benz,G 580,900 կմ , Ամենագնաց, Էլեկտրական, Ավտոմատ, Ձախ, Սպիտակ, Մաքսազերծված չ
,€ 164 900,2021,Mercedes-Benz,GLS 600 Maybach,10 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Մաքսազերծված չ
,֏ 2 300 000,2024,Lexus,UX 200,10 կմ , Ամենագնաց, Հիբրիդ, Ավտոմատ, Ձախ, Մոխրագույն, Մաքսազերծված չ
,€ 40 400,2025,Lexus,NX 350,10 կմ , Ամենագնաց, Հիբրիդ, Ավտոմատ, Ձախ, Մոխրագույն, Մաքսազերծված չ
,€ 52 000,2025,Land,Rover Range Rover Sport,1000 կմ , Ամենագնաց, Հիբրիդ, Ավտոմատ, Ձախ, Սպիտակ, Մաքսազերծված չ
,€ 118 000,2025,Land,Rover Range Rover Sport,4710 կմ , Ամենագնաց, Հիբրիդ, Ավտոմատ, Ձախ, Կապույտ, Մաքսազերծված չ
,€ 110 000,2024,Land,Rover Range Rover Sport,1800 կմ , Ամենագնաց, Հիբրիդ, Ավտոմատ, Ձախ, Սպիտակ, Մաքսազերծված չ
,€ 105 000,2024,Land,Rover Range Rover Sport,9000 կմ , Ամենագնաց, Հիբրիդ, Ավտոմատ, Ձախ, Սև, Մաքսազերծված չ
,€ 114 000,2025,Land,Rover Range Rover Velar,300 կմ , Ամենագնաց, Դիզել, Ավտոմատ, Ձախ, Արծաթագույն, Մաքսազերծված չ
,€ 66 000,2018,Chevrolet,Equinox,80595 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 3 000,2018,Dodge,Challenger,63880 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Աճուրդում
,$ 4 500,2018,Nissan,Murano,56519 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 4 000,2025,Porsche,Cayenne,7500 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Մաքսազերծված չ
,€ 94 800,2020,Hyundai,Elantra,68692 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Աճուրդում
,$ 6 000,2020,Ford,Escape,46298 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Երկնագույն, Աճուրդում
,$ 3 200,2021,Jeep,Cherokee,64513 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Աճուրդում
,$ 5 000,2021,Jeep,Cherokee,31496 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,€ 249 000,2020,BMW,X3,10 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն, Աճուրդում
,$ 17 000,2020,Mercedes-Benz,EQC,49000 կմ , Ամենագնաց, Էլեկտրական, Ավտոմատ, Ձախ, Սպիտակ, Մաքսազերծված չ
,€ 35 874,2020,Lexus,IS 300 F Sport,54820 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 11 500,2020,Lexus,ES 350,85467 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 14 300,2021,Cadillac,Escalade,41000 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Մաքսազերծված չ
,€ 91 200,2023,Cadillac,Escalade,10000 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Մաքսազերծված չ
,€ 103 300,2023,Cadillac,Escalade,6020 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Մաքսազերծված չ
,€ 99 000,2019,Lexus,NX 300h,47795 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 12 000,2019,Mercedes-Benz,G 63 AMG,18460 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Մաքսազերծված չ
,€ 126 100,2019,Mercedes-Benz,G 63 AMG,5880 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Մաքսազերծված չ
,€ 205 000,2024,Land,Rover Discovery,13311 կմ , Ամենագնաց, Դիզել, Ավտոմատ, Ձախ, Սև, Մաքսազերծված չ
,€ 65 400,2023,Tesla,Model 3,53992 կմ , Սեդան, Էլեկտրական, Ավտոմատ, Ձախ, Մոխրագույն, Աճուրդում
,$ 10 300,2021,BMW,X5,32825 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 26 600,2021,BMW,X5,49194 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 6 500,2024,Mercedes-Benz,C 300,1223 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 23 500,2018,Mazda,6,90115 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 2 900,2021,Toyota,Rav 4,18504 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 12 000,2019,Nissan,Rogue,85521 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Կարմիր, Աճուրդում
,$ 3 700,2024,BMW,X6,36358 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Մաքսազերծված
,$ 83 000,2021,Toyota,Rav 4,32183 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 11 600,2022,Mazda,CX 30,21825 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Աճուրդում
,$ 8 000,2021,Subaru,Legacy,31038 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,€ 206 000,2019,Mercedes-Benz,G 63 AMG,42245 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Մաքսազերծված չ
,€ 161 900,2021,Porsche,Macan,55599 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 4 800,2022,BMW,318,2253 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 1 700,2024,Rolls,Royce Spectre,500 կմ , Կուպե, Էլեկտրական, Ավտոմատ, Ձախ, Սև, Մաքսազերծված չ
,€ 540 000,2022,Mazda,CX5,18900 կմ , МАЗДА ГРАНД ТУРИНГ ПРЕМИУМ ПЛЮС., Ունիվերսալ, Բենզին, Ավտոմատ, Ձախ, Մաքսազերծված
,€ 44 500,2019,Nissan,Sentra,18965 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Աճուրդում
,$ 2 100,2019,Ford,Fiesta,96500 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 1 400,2019,Ford,Fiesta,41354 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն, Աճուրդում
,$ 1 500,2019,Kia,Sorento,83541 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 4 600,2021,Tesla,Model Y,68690 մղոն , Ամենագնաց, Էլեկտրական, Ավտոմատ, Ձախ, Մոխրագույն, Աճուրդում
,$ 13 300,2022,Toyota,Corolla,27282 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 7 500,2023,Mercedes-Benz,EQS SUV,40540 կմ , Ամենագնաց, Էլեկտրական, Ավտոմատ, Ձախ, Սև, Մաքսազերծված չ
,€ 67 200,2021,Jeep,Compass,78247 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 4 300,2020,Toyota,Corolla,87742 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 6 600,2018,Dodge,Journey,82525 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 2 100,2018,Dodge,Journey,82893 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 1 600,2022,Mercedes-Benz,GLE 350,67527 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Մաքսազերծված չ
,$ 27 000,2025,Audi,Q7,1999 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Մաքսազերծված չ
,$ 5 800,2025,Lexus,NX 350,20 կմ , Ամենագնաց, Հիբրիդ, Ավտոմատ, Ձախ, Արծաթագույն, Մաքսազերծված չ
,€ 49 000,2025,Lexus,NX 350,12 կմ , Ամենագնաց, Հիբրիդ, Ավտոմատ, Ձախ, Սպիտակ, Մաքսազերծված չ
,€ 50 000,2021,Lexus,GX 460 Premium,66594 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 8 000,2018,Hyundai,Kona,45327 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Երկնագույն, Աճուրդում
,$ 3 500,2008,BMW,X6,240000 կմ , Ունիվերսալ, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Մաքսազերծված
,$ 13 500,2024,Land,Rover Discovery Sport,3000 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Մաքսազերծված չ
,€ 53 700,2021,Honda,Accord,57003 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Կապույտ, Աճուրդում
,$ 7 000,2024,Mercedes-Benz,C 300,7052 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 24 000,2020,Toyota,Corolla,76944 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Աճուրդում
,$ 5 300,2020,Subaru,Forester,75355 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Աճուրդում
,$ 4 500,2021,Mazda,CX 30,46025 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 7 000,2022,Porsche,Macan,26974 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 25 000,2021,Porsche,Macan,10 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Աճուրդում
,$ 20 500,2024,Mercedes-Benz,EQB,9500 կմ , Ամենագնաց, Էլեկտրական, Ավտոմատ, Ձախ, Երկնագույն, Մաքսազերծված չ
,€ 37 400,2022,Chevrolet,Malibu,67664 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն, Աճուրդում
,$ 3 700,2022,Chevrolet,Malibu,68752 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Աճուրդում
,$ 3 900,2021,Mazda,CX 30,45619 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Կապույտ, Աճուրդում
,$ 6 500,2022,Mazda,CX 30,46438 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,
